coin_name,spider_web,time,cnt,first_price
ACTi,inversting,2024-11-20 21:21:00,33.0,0.546300000000000007815970093361102044582366943359375
APU,inversting,2024-11-20 21:00:00,54.0,0.000973400000000000024773239015729586753877811133861541748046875
CATI,inversting,2024-11-20 21:00:00,54.0,0.57809999999999994724220186981256119906902313232421875
CRV,binance,2024-11-20 21:00:00,54.0,0.3947999999999998177457882775343023240566253662109375
CRV,inversting,2024-11-20 21:00:00,54.0,0.395299999999999818189877487384364940226078033447265625
CVX,binance,2024-11-20 21:00:00,54.0,2.40200000000000013500311979441903531551361083984375
CVX,inversting,2024-11-20 21:00:00,54.0,2.399999999999999911182158029987476766109466552734375
DAO,inversting,2024-11-20 21:00:00,54.0,0.403299999999999825295304844985366798937320709228515625
DOG,inversting,2024-11-20 21:00:00,54.0,0.0074009999999998000996814795371392392553389072418212890625
KIBSHI,inversting,2024-11-20 21:00:00,54.0,0.00003021000000000000044347338301609084965093643404543399810791015625
LTO,binance,2024-11-20 21:29:00,25.0,0.1635000000000000064392935428259079344570636749267578125
LTO,inversting,2024-11-20 21:29:00,25.0,0.1640000000000000068833827526759705506265163421630859375
NEIRO,binance,2024-11-20 21:00:00,54.0,0.00185151000000000000474120742666173100587911903858184814453125
NEIRO,inversting,2024-11-20 21:00:00,54.0,0.0849000000000000032418512319054570980370044708251953125
NEIROe,inversting,2024-11-20 21:00:00,54.0,0.00185490999999990001552430118891834354144521057605743408203125
PAAL,inversting,2024-11-20 21:06:00,48.0,0.1630000000000000059952043329758453182876110076904296875
PENGs,inversting,2024-11-20 21:00:00,54.0,0.1700000000000000122124532708767219446599483489990234375
POLYX,inversting,2024-11-20 21:00:00,54.0,0.297599999999999920152760068958741612732410430908203125
POPCAT,inversting,2024-11-20 21:39:00,15.0,1.664400000000000101607611213694326579570770263671875
QNT,inversting,2024-11-20 21:49:00,5.0,87.989999999999980673237587325274944305419921875
SLF,binance,2024-11-20 21:00:00,54.0,0.3084000000000000074606987254810519516468048095703125
SLF,inversting,2024-11-20 21:00:00,54.0,0.309499999999999719779708584610489197075366973876953125
TRU,inversting,2024-11-20 21:00:00,54.0,0.08200000000000000344169137633798527531325817108154296875
TURBOt,inversting,2024-11-20 21:42:00,12.0,0.00806100000000000045663473002832688507623970508575439453125
VRA,inversting,2024-11-20 21:00:00,54.0,0.0032320000000000000638100683403308721608482301235198974609375
KEKEC,inversting,2024-11-20 21:59:00,1.0,0.0006356
